OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
1    CL   5.0    False    135    5    0    8.0    none    500    1
2    CL   5.0    False    135    5    0    8.0    none    250    1
3    CL   5.0    False    135    5    0    8.0    none    100    1
4    CL   5.0    False    135    5    0    8.0    none    50    1
5    CL   5.0    False    135    5    0    8.0    none    250    2
6    CL   5.0    False    135    5    5    8.0    none    250    2
7    CL   5.0    False    135    5    10    8.0    none    250    2
8    CL   5.0    False    135    5    -5    8.0    none    250    2
9    CL   5.0    False    135    5    -10    8.0    none    250    2
10    CL   5.0    False    135    5    -20    8.0    none    250    2
11    CL   5.0    True    135    5    0    8.0    none    500    1
12    CL   5.0    True    135    5    0    8.0    none    250    1
13    CL   5.0    True    135    5    0    8.0    none    150    1
14    CL   5.0    True    135    5    0    8.0    none    100    1
15    CL   5.0    True    135    5    0    8.0    none    50    1
16    CL   5.0    True    135    5    0    8.0    none    250    2
17    CL   5.0    True    135    5    5    8.0    none    250    2
18    CL   5.0    True    135    5    10    8.0    none    250    2
19    CL   5.0    True    135    5    -5    8.0    none    250    2
20    CL   5.0    True    135    5    -10    8.0    none    250    2
21    CL   5.0    True    135    5    -20    8.0    none    250    2
22    ROSACE   5.0    True    60    3    0    8.0    none    500    3
23    ROSACE   5.0    True    90    3    0    8.0    none    500    3
24    ROSACE   5.0    True    120    3    0    8.0    none    500    3
25    ROSACE   5.0    True    150    3    0    8.0    none    500    3
26    ROSACE   5.0    True    180    3    0    8.0    none    500    3
27    ROSACE   5.0    True    210    3    0    8.0    none    500    3
28    ROSACE   5.0    True    240    3    0    8.0    none    500    3
29    ROSACE   5.0    True    270    3    0    8.0    none    500    3
30    ROSACE   5.0    True    300    3    0    8.0    none    500    3
31    ROSACE   5.0    True    330    3    0    8.0    none    500    3
32    ROSACE   5.0    True    0    3    0    8.0    none    500    3
33    ROSACE   5.0    True    30    3    0    8.0    none    500    3
