OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
0    CF   5.0    False    180    5    0    8.0    none    500    1
0    CF   5.0    False    180    5    0    8.0    none    500    2
1    CF   5.0    False    180    5    0    8.0    none    250    1
2    CF   5.0    False    180    5    0    8.0    none    100    1
3    CF   5.0    False    180    5    0    8.0    none    50    1
4    CF   5.0    False    180    5    5    8.0    none    250    2
5    CF   5.0    False    180    5    10    8.0    none    250    2
6    CF   5.0    False    180    5    -5    8.0    none    250    2
7    CF   5.0    False    180    5    -10    8.0    none    250    2
8    CF   5.0    False    180    5    -20    8.0    none    250    2
9    CL   5.0    False    225    5    0    8.0    none    500    3
9    CL   5.0    False    225    5    0    8.0    none    500    4
10    CL   5.0    False    225    5    0    8.0    none    250    3
11    CL   5.0    False    225    5    0    8.0    none    100    3
12    CL   5.0    False    225    5    0    8.0    none    50    3
13    CL   5.0    False    225    5    5    8.0    none    250    4
14    CL   5.0    False    225    5    10    8.0    none    250    4
15    CL   5.0    False    225    5    -5    8.0    none    250    4
16    CL   5.0    False    225    5    -10    8.0    none    250    4
17    CL   5.0    False    225    5    -20    8.0    none    250    4
18    CF   5.0    True    180    5    0    8.0    none    500    1
18    CF   5.0    True    180    5    0    8.0    none    500    2
19    CF   5.0    True    180    5    0    8.0    none    250    1
20    CF   5.0    True    180    5    0    8.0    none    100    1
21    CF   5.0    True    180    5    0    8.0    none    50    1
22    CF   5.0    True    180    5    5    8.0    none    250    2
23    CF   5.0    True    180    5    10    8.0    none    250    2
24    CF   5.0    True    180    5    -5    8.0    none    250    2
25    CF   5.0    True    180    5    -10    8.0    none    250    2
26    CF   5.0    True    180    5    -20    8.0    none    250    2
27    CL   5.0    True    225    5    0    8.0    none    500    3
27    CL   5.0    True    225    5    0    8.0    none    500    4
28    CL   5.0    True    225    5    0    8.0    none    250    3
29    CL   5.0    True    225    5    0    8.0    none    100    3
30    CL   5.0    True    225    5    0    8.0    none    50    3
31    CL   5.0    True    225    5    5    8.0    none    250    4
32    CL   5.0    True    225    5    10    8.0    none    250    4
33    CL   5.0    True    225    5    -5    8.0    none    250    4
34    CL   5.0    True    225    5    -10    8.0    none    250    4
35    CL   5.0    True    225    5    -20    8.0    none    250    4
36    CL   5.0    True    225    5    0    8.0    none    250    1    
37    CL   5.0    True    225    5    0    8.0    none    150    1
38    CL   5.0    True    225    5    0    8.0    none    100    1
39    CL   5.0    True    225    5    0    8.0    none    50    1
40    WITNESS   5.0    False    225    5    50    8.0    none    250    5
41    WITNESS   5.0    False    225    5    100    8.0    none    250    5
42    WITNESS   5.0    False    225    5    -50    8.0    none    250    5
43    WITNESS   5.0    False    225    5    -100    8.0    none    250    5
