OPUS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC
1    5.0    True    225.0    5.0    10.0    8.0    none    250.0
2    5.0    True    225.0    5.0    5.0    8.0    none    250.0
3    5.0    True    225.0    5.0    -10.0    8.0    none    250.0
4    5.0    True    225.0    5.0    20.0    8.0    none    250.0
5    5.0    True    225.0    5.0    30.0    8.0    none    250.0
6    5.0    True    225.0    5.0    50.0    8.0    none    250.0
7    5.0    True    225.0    5.0    80.0    8.0    none    250.0
8    5.0    True    225.0    5.0    65.0    8.0    none    250.0
9    5.0    True    225.0    5.0    54.0    8.0    none    250.0
10    5.0    True    225.0    5.0    54.0    8.0    none    250.0
11    5.0    True    225.0    5.0    54.0    8.0    none    250.0
