OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
11546    HEAD_ON   2.57222    True    200    5.14444    -10    8.0    None    500    4
11547    HEAD_ON   2.57222    True    200    5.14444    0    8.0    None    200    4
11548    HEAD_ON   2.57222    True    200    5.14444    0    8.0    None    500    4
11549    HEAD_ON   2.57222    True    200    5.14444    10    8.0    None    200    4
11550    HEAD_ON   2.57222    True    200    5.14444    10    8.0    None    500    4
11551    HEAD_ON   2.57222    True    200    5.14444    20    8.0    None    200    4
11552    HEAD_ON   2.57222    True    200    5.14444    20    8.0    None    500    4
11553    HEAD_ON   2.57222    True    200    5.14444    50    8.0    None    200    4
11554    HEAD_ON   2.57222    True    200    5.14444    50    8.0    None    500    4
11555    HEAD_ON   2.57222    True    200    5.14444    80    8.0    None    200    4
11556    HEAD_ON   2.57222    True    200    5.14444    80    8.0    None    500    4
11557    HEAD_ON   4.115552    True    200    5.14444    -80    8.0    None    200    4
11558    HEAD_ON   4.115552    True    200    5.14444    -80    8.0    None    500    4
11559    HEAD_ON   4.115552    True    200    5.14444    -50    8.0    None    200    4
11560    HEAD_ON   4.115552    True    200    5.14444    -50    8.0    None    500    4
11561    HEAD_ON   4.115552    True    200    5.14444    -20    8.0    None    200    4
11562    HEAD_ON   4.115552    True    200    5.14444    -20    8.0    None    500    4
11563    HEAD_ON   4.115552    True    200    5.14444    -10    8.0    None    200    4
11564    HEAD_ON   4.115552    True    200    5.14444    -10    8.0    None    500    4
11565    HEAD_ON   4.115552    True    200    5.14444    0    8.0    None    200    4
11566    HEAD_ON   4.115552    True    200    5.14444    0    8.0    None    500    4
11567    HEAD_ON   4.115552    True    200    5.14444    10    8.0    None    200    4
11568    HEAD_ON   4.115552    True    200    5.14444    10    8.0    None    500    4
11569    HEAD_ON   4.115552    True    200    5.14444    20    8.0    None    200    4
11570    HEAD_ON   4.115552    True    200    5.14444    20    8.0    None    500    4
11571    HEAD_ON   4.115552    True    200    5.14444    50    8.0    None    200    4
11572    HEAD_ON   4.115552    True    200    5.14444    50    8.0    None    500    4
11573    HEAD_ON   4.115552    True    200    5.14444    80    8.0    None    200    4
11574    HEAD_ON   4.115552    True    200    5.14444    80    8.0    None    500    4
11575    HEAD_ON   5.14444    True    200    5.14444    -80    8.0    None    200    4
11576    HEAD_ON   5.14444    True    200    5.14444    -80    8.0    None    500    4
11577    HEAD_ON   5.14444    True    200    5.14444    -50    8.0    None    200    4
11578    HEAD_ON   5.14444    True    200    5.14444    -50    8.0    None    500    4
11579    HEAD_ON   5.14444    True    200    5.14444    -20    8.0    None    200    4
11580    HEAD_ON   5.14444    True    200    5.14444    -20    8.0    None    500    4
11581    HEAD_ON   5.14444    True    200    5.14444    -10    8.0    None    200    4
11582    HEAD_ON   5.14444    True    200    5.14444    -10    8.0    None    500    4
11583    HEAD_ON   5.14444    True    200    5.14444    0    8.0    None    200    4
11584    HEAD_ON   5.14444    True    200    5.14444    0    8.0    None    500    4
11585    HEAD_ON   5.14444    True    200    5.14444    10    8.0    None    200    4
11586    HEAD_ON   5.14444    True    200    5.14444    10    8.0    None    500    4
11587    HEAD_ON   5.14444    True    200    5.14444    20    8.0    None    200    4
11588    HEAD_ON   5.14444    True    200    5.14444    20    8.0    None    500    4
11589    HEAD_ON   5.14444    True    200    5.14444    50    8.0    None    200    4
11590    HEAD_ON   5.14444    True    200    5.14444    50    8.0    None    500    4
11591    HEAD_ON   5.14444    True    200    5.14444    80    8.0    None    200    4
11592    HEAD_ON   5.14444    True    200    5.14444    80    8.0    None    500    4
11593    HEAD_ON   7.71666    True    200    5.14444    -80    8.0    None    200    4
11594    HEAD_ON   7.71666    True    200    5.14444    -80    8.0    None    500    4
11595    HEAD_ON   7.71666    True    200    5.14444    -50    8.0    None    200    4
11596    HEAD_ON   7.71666    True    200    5.14444    -50    8.0    None    500    4
11597    HEAD_ON   7.71666    True    200    5.14444    -20    8.0    None    200    4
11598    HEAD_ON   7.71666    True    200    5.14444    -20    8.0    None    500    4
11599    HEAD_ON   7.71666    True    200    5.14444    -10    8.0    None    200    4
11600    HEAD_ON   7.71666    True    200    5.14444    -10    8.0    None    500    4
11601    HEAD_ON   7.71666    True    200    5.14444    0    8.0    None    200    4
11602    HEAD_ON   7.71666    True    200    5.14444    0    8.0    None    500    4
11603    HEAD_ON   7.71666    True    200    5.14444    10    8.0    None    200    4
11604    HEAD_ON   7.71666    True    200    5.14444    10    8.0    None    500    4
11605    HEAD_ON   7.71666    True    200    5.14444    20    8.0    None    200    4
11606    HEAD_ON   7.71666    True    200    5.14444    20    8.0    None    500    4
11607    HEAD_ON   7.71666    True    200    5.14444    50    8.0    None    200    4
11608    HEAD_ON   7.71666    True    200    5.14444    50    8.0    None    500    4
11609    HEAD_ON   7.71666    True    200    5.14444    80    8.0    None    200    4
11610    HEAD_ON   7.71666    True    200    5.14444    80    8.0    None    500    4
11611    HEAD_ON   10.28888    True    200    5.14444    -80    8.0    None    200    4
11612    HEAD_ON   10.28888    True    200    5.14444    -80    8.0    None    500    4
11613    HEAD_ON   10.28888    True    200    5.14444    -50    8.0    None    200    4
11614    HEAD_ON   10.28888    True    200    5.14444    -50    8.0    None    500    4
11615    HEAD_ON   10.28888    True    200    5.14444    -20    8.0    None    200    4
11616    HEAD_ON   10.28888    True    200    5.14444    -20    8.0    None    500    4
11617    HEAD_ON   10.28888    True    200    5.14444    -10    8.0    None    200    4
11618    HEAD_ON   10.28888    True    200    5.14444    -10    8.0    None    500    4
11619    HEAD_ON   10.28888    True    200    5.14444    0    8.0    None    200    4
11620    HEAD_ON   10.28888    True    200    5.14444    0    8.0    None    500    4
11621    HEAD_ON   10.28888    True    200    5.14444    10    8.0    None    200    4
11622    HEAD_ON   10.28888    True    200    5.14444    10    8.0    None    500    4
11623    HEAD_ON   10.28888    True    200    5.14444    20    8.0    None    200    4
11624    HEAD_ON   10.28888    True    200    5.14444    20    8.0    None    500    4
11625    HEAD_ON   10.28888    True    200    5.14444    50    8.0    None    200    4
11626    HEAD_ON   10.28888    True    200    5.14444    50    8.0    None    500    4
11627    HEAD_ON   10.28888    True    200    5.14444    80    8.0    None    200    4
11628    HEAD_ON   10.28888    True    200    5.14444    80    8.0    None    500    4
11629    HEAD_ON   12.8611    True    200    5.14444    -80    8.0    None    200    4
11630    HEAD_ON   12.8611    True    200    5.14444    -80    8.0    None    500    4
11631    HEAD_ON   12.8611    True    200    5.14444    -50    8.0    None    200    4
11632    HEAD_ON   12.8611    True    200    5.14444    -50    8.0    None    500    4
11633    HEAD_ON   12.8611    True    200    5.14444    -20    8.0    None    200    4
11634    HEAD_ON   12.8611    True    200    5.14444    -20    8.0    None    500    4
11635    HEAD_ON   12.8611    True    200    5.14444    -10    8.0    None    200    4
11636    HEAD_ON   12.8611    True    200    5.14444    -10    8.0    None    500    4
11637    HEAD_ON   12.8611    True    200    5.14444    0    8.0    None    200    4
11638    HEAD_ON   12.8611    True    200    5.14444    0    8.0    None    500    4
11639    HEAD_ON   12.8611    True    200    5.14444    10    8.0    None    200    4
11640    HEAD_ON   12.8611    True    200    5.14444    10    8.0    None    500    4
11641    HEAD_ON   12.8611    True    200    5.14444    20    8.0    None    200    4
11642    HEAD_ON   12.8611    True    200    5.14444    20    8.0    None    500    4
11643    HEAD_ON   12.8611    True    200    5.14444    50    8.0    None    200    4
11644    HEAD_ON   12.8611    True    200    5.14444    50    8.0    None    500    4
11645    HEAD_ON   12.8611    True    200    5.14444    80    8.0    None    200    4
11646    HEAD_ON   12.8611    True    200    5.14444    80    8.0    None    500    4
11647    HEAD_ON   15.43332    True    200    5.14444    -80    8.0    None    200    4
11648    HEAD_ON   15.43332    True    200    5.14444    -80    8.0    None    500    4
11649    HEAD_ON   15.43332    True    200    5.14444    -50    8.0    None    200    4
11650    HEAD_ON   15.43332    True    200    5.14444    -50    8.0    None    500    4
11651    HEAD_ON   15.43332    True    200    5.14444    -20    8.0    None    200    4
11652    HEAD_ON   15.43332    True    200    5.14444    -20    8.0    None    500    4
11653    HEAD_ON   15.43332    True    200    5.14444    -10    8.0    None    200    4
11654    HEAD_ON   15.43332    True    200    5.14444    -10    8.0    None    500    4
11655    HEAD_ON   15.43332    True    200    5.14444    0    8.0    None    200    4
11656    HEAD_ON   15.43332    True    200    5.14444    0    8.0    None    500    4
11657    HEAD_ON   15.43332    True    200    5.14444    10    8.0    None    200    4
11658    HEAD_ON   15.43332    True    200    5.14444    10    8.0    None    500    4
11659    HEAD_ON   15.43332    True    200    5.14444    20    8.0    None    200    4
11660    HEAD_ON   15.43332    True    200    5.14444    20    8.0    None    500    4
11661    HEAD_ON   15.43332    True    200    5.14444    50    8.0    None    200    4
11662    HEAD_ON   15.43332    True    200    5.14444    50    8.0    None    500    4
11663    HEAD_ON   15.43332    True    200    5.14444    80    8.0    None    200    4
11664    HEAD_ON   15.43332    True    200    5.14444    80    8.0    None    500    4
11665    HEAD_ON   1.543332    True    200    7.71666    -80    8.0    None    200    4
11666    HEAD_ON   1.543332    True    200    7.71666    -80    8.0    None    500    4
11667    HEAD_ON   1.543332    True    200    7.71666    -50    8.0    None    200    4
11668    HEAD_ON   1.543332    True    200    7.71666    -50    8.0    None    500    4
11669    HEAD_ON   1.543332    True    200    7.71666    -20    8.0    None    200    4
11670    HEAD_ON   1.543332    True    200    7.71666    -20    8.0    None    500    4
11671    HEAD_ON   1.543332    True    200    7.71666    -10    8.0    None    200    4
11672    HEAD_ON   1.543332    True    200    7.71666    -10    8.0    None    500    4
11673    HEAD_ON   1.543332    True    200    7.71666    0    8.0    None    200    4
11674    HEAD_ON   1.543332    True    200    7.71666    0    8.0    None    500    4
11675    HEAD_ON   1.543332    True    200    7.71666    10    8.0    None    200    4
11676    HEAD_ON   1.543332    True    200    7.71666    10    8.0    None    500    4
11677    HEAD_ON   1.543332    True    200    7.71666    20    8.0    None    200    4
11678    HEAD_ON   1.543332    True    200    7.71666    20    8.0    None    500    4
11679    HEAD_ON   1.543332    True    200    7.71666    50    8.0    None    200    4
11680    HEAD_ON   1.543332    True    200    7.71666    50    8.0    None    500    4
11681    HEAD_ON   1.543332    True    200    7.71666    80    8.0    None    200    4
11682    HEAD_ON   1.543332    True    200    7.71666    80    8.0    None    500    4
11683    HEAD_ON   2.57222    True    200    7.71666    -80    8.0    None    200    4
11684    HEAD_ON   2.57222    True    200    7.71666    -80    8.0    None    500    4
11685    HEAD_ON   2.57222    True    200    7.71666    -50    8.0    None    200    4
11686    HEAD_ON   2.57222    True    200    7.71666    -50    8.0    None    500    4
11687    HEAD_ON   2.57222    True    200    7.71666    -20    8.0    None    200    4
11688    HEAD_ON   2.57222    True    200    7.71666    -20    8.0    None    500    4
11689    HEAD_ON   2.57222    True    200    7.71666    -10    8.0    None    200    4
11690    HEAD_ON   2.57222    True    200    7.71666    -10    8.0    None    500    4
11691    HEAD_ON   2.57222    True    200    7.71666    0    8.0    None    200    4
11692    HEAD_ON   2.57222    True    200    7.71666    0    8.0    None    500    4
11693    HEAD_ON   2.57222    True    200    7.71666    10    8.0    None    200    4
11694    HEAD_ON   2.57222    True    200    7.71666    10    8.0    None    500    4
11695    HEAD_ON   2.57222    True    200    7.71666    20    8.0    None    200    4
11696    HEAD_ON   2.57222    True    200    7.71666    20    8.0    None    500    4
11697    HEAD_ON   2.57222    True    200    7.71666    50    8.0    None    200    4
11698    HEAD_ON   2.57222    True    200    7.71666    50    8.0    None    500    4
11699    HEAD_ON   2.57222    True    200    7.71666    80    8.0    None    200    4
11700    HEAD_ON   2.57222    True    200    7.71666    80    8.0    None    500    4
11701    HEAD_ON   4.115552    True    200    7.71666    -80    8.0    None    200    4
11702    HEAD_ON   4.115552    True    200    7.71666    -80    8.0    None    500    4
11703    HEAD_ON   4.115552    True    200    7.71666    -50    8.0    None    200    4
11704    HEAD_ON   4.115552    True    200    7.71666    -50    8.0    None    500    4
11705    HEAD_ON   4.115552    True    200    7.71666    -20    8.0    None    200    4
11706    HEAD_ON   4.115552    True    200    7.71666    -20    8.0    None    500    4
11707    HEAD_ON   4.115552    True    200    7.71666    -10    8.0    None    200    4
11708    HEAD_ON   4.115552    True    200    7.71666    -10    8.0    None    500    4
11709    HEAD_ON   4.115552    True    200    7.71666    0    8.0    None    200    4
11710    HEAD_ON   4.115552    True    200    7.71666    0    8.0    None    500    4
11711    HEAD_ON   4.115552    True    200    7.71666    10    8.0    None    200    4
11712    HEAD_ON   4.115552    True    200    7.71666    10    8.0    None    500    4
11713    HEAD_ON   4.115552    True    200    7.71666    20    8.0    None    200    4
11714    HEAD_ON   4.115552    True    200    7.71666    20    8.0    None    500    4
11715    HEAD_ON   4.115552    True    200    7.71666    50    8.0    None    200    4
11716    HEAD_ON   4.115552    True    200    7.71666    50    8.0    None    500    4
11717    HEAD_ON   4.115552    True    200    7.71666    80    8.0    None    200    4
11718    HEAD_ON   4.115552    True    200    7.71666    80    8.0    None    500    4
11719    HEAD_ON   5.14444    True    200    7.71666    -80    8.0    None    200    4
11720    HEAD_ON   5.14444    True    200    7.71666    -80    8.0    None    500    4
11721    HEAD_ON   5.14444    True    200    7.71666    -50    8.0    None    200    4
11722    HEAD_ON   5.14444    True    200    7.71666    -50    8.0    None    500    4
11723    HEAD_ON   5.14444    True    200    7.71666    -20    8.0    None    200    4
11724    HEAD_ON   5.14444    True    200    7.71666    -20    8.0    None    500    4
11725    HEAD_ON   5.14444    True    200    7.71666    -10    8.0    None    200    4
11726    HEAD_ON   5.14444    True    200    7.71666    -10    8.0    None    500    4
11727    HEAD_ON   5.14444    True    200    7.71666    0    8.0    None    200    4
11728    HEAD_ON   5.14444    True    200    7.71666    0    8.0    None    500    4
11729    HEAD_ON   5.14444    True    200    7.71666    10    8.0    None    200    4
11730    HEAD_ON   5.14444    True    200    7.71666    10    8.0    None    500    4
11731    HEAD_ON   5.14444    True    200    7.71666    20    8.0    None    200    4
