OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
6652    CROSSING_LEFT   2.57222    True    120    2.57222    0    8.0    None    500    3
6653    CROSSING_LEFT   2.57222    True    120    2.57222    10    8.0    None    200    3
6654    CROSSING_LEFT   2.57222    True    120    2.57222    10    8.0    None    500    3
6655    CROSSING_LEFT   2.57222    True    120    2.57222    20    8.0    None    200    3
6656    CROSSING_LEFT   2.57222    True    120    2.57222    20    8.0    None    500    3
6657    CROSSING_LEFT   2.57222    True    120    2.57222    50    8.0    None    200    3
6658    CROSSING_LEFT   2.57222    True    120    2.57222    50    8.0    None    500    3
6659    CROSSING_LEFT   2.57222    True    120    2.57222    80    8.0    None    200    3
6660    CROSSING_LEFT   2.57222    True    120    2.57222    80    8.0    None    500    3
6661    CROSSING_LEFT   4.115552    True    120    2.57222    -80    8.0    None    200    3
6662    CROSSING_LEFT   4.115552    True    120    2.57222    -80    8.0    None    500    3
6663    CROSSING_LEFT   4.115552    True    120    2.57222    -50    8.0    None    200    3
6664    CROSSING_LEFT   4.115552    True    120    2.57222    -50    8.0    None    500    3
6665    CROSSING_LEFT   4.115552    True    120    2.57222    -20    8.0    None    200    3
6666    CROSSING_LEFT   4.115552    True    120    2.57222    -20    8.0    None    500    3
6667    CROSSING_LEFT   4.115552    True    120    2.57222    -10    8.0    None    200    3
6668    CROSSING_LEFT   4.115552    True    120    2.57222    -10    8.0    None    500    3
6669    CROSSING_LEFT   4.115552    True    120    2.57222    0    8.0    None    200    3
6670    CROSSING_LEFT   4.115552    True    120    2.57222    0    8.0    None    500    3
6671    CROSSING_LEFT   4.115552    True    120    2.57222    10    8.0    None    200    3
6672    CROSSING_LEFT   4.115552    True    120    2.57222    10    8.0    None    500    3
6673    CROSSING_LEFT   4.115552    True    120    2.57222    20    8.0    None    200    3
6674    CROSSING_LEFT   4.115552    True    120    2.57222    20    8.0    None    500    3
6675    CROSSING_LEFT   4.115552    True    120    2.57222    50    8.0    None    200    3
6676    CROSSING_LEFT   4.115552    True    120    2.57222    50    8.0    None    500    3
6677    CROSSING_LEFT   4.115552    True    120    2.57222    80    8.0    None    200    3
6678    CROSSING_LEFT   4.115552    True    120    2.57222    80    8.0    None    500    3
6679    CROSSING_LEFT   5.14444    True    120    2.57222    -80    8.0    None    200    3
6680    CROSSING_LEFT   5.14444    True    120    2.57222    -80    8.0    None    500    3
6681    CROSSING_LEFT   5.14444    True    120    2.57222    -50    8.0    None    200    3
6682    CROSSING_LEFT   5.14444    True    120    2.57222    -50    8.0    None    500    3
6683    CROSSING_LEFT   5.14444    True    120    2.57222    -20    8.0    None    200    3
6684    CROSSING_LEFT   5.14444    True    120    2.57222    -20    8.0    None    500    3
6685    CROSSING_LEFT   5.14444    True    120    2.57222    -10    8.0    None    200    3
6686    CROSSING_LEFT   5.14444    True    120    2.57222    -10    8.0    None    500    3
6687    CROSSING_LEFT   5.14444    True    120    2.57222    0    8.0    None    200    3
6688    CROSSING_LEFT   5.14444    True    120    2.57222    0    8.0    None    500    3
6689    CROSSING_LEFT   5.14444    True    120    2.57222    10    8.0    None    200    3
6690    CROSSING_LEFT   5.14444    True    120    2.57222    10    8.0    None    500    3
6691    CROSSING_LEFT   5.14444    True    120    2.57222    20    8.0    None    200    3
6692    CROSSING_LEFT   5.14444    True    120    2.57222    20    8.0    None    500    3
6693    CROSSING_LEFT   5.14444    True    120    2.57222    50    8.0    None    200    3
6694    CROSSING_LEFT   5.14444    True    120    2.57222    50    8.0    None    500    3
6695    CROSSING_LEFT   5.14444    True    120    2.57222    80    8.0    None    200    3
6696    CROSSING_LEFT   5.14444    True    120    2.57222    80    8.0    None    500    3
6697    CROSSING_LEFT   7.71666    True    120    2.57222    -80    8.0    None    200    3
6698    CROSSING_LEFT   7.71666    True    120    2.57222    -80    8.0    None    500    3
6699    CROSSING_LEFT   7.71666    True    120    2.57222    -50    8.0    None    200    3
6700    CROSSING_LEFT   7.71666    True    120    2.57222    -50    8.0    None    500    3
6701    CROSSING_LEFT   7.71666    True    120    2.57222    -20    8.0    None    200    3
6702    CROSSING_LEFT   7.71666    True    120    2.57222    -20    8.0    None    500    3
6703    CROSSING_LEFT   7.71666    True    120    2.57222    -10    8.0    None    200    3
6704    CROSSING_LEFT   7.71666    True    120    2.57222    -10    8.0    None    500    3
6705    CROSSING_LEFT   7.71666    True    120    2.57222    0    8.0    None    200    3
6706    CROSSING_LEFT   7.71666    True    120    2.57222    0    8.0    None    500    3
6707    CROSSING_LEFT   7.71666    True    120    2.57222    10    8.0    None    200    3
6708    CROSSING_LEFT   7.71666    True    120    2.57222    10    8.0    None    500    3
6709    CROSSING_LEFT   7.71666    True    120    2.57222    20    8.0    None    200    3
6710    CROSSING_LEFT   7.71666    True    120    2.57222    20    8.0    None    500    3
6711    CROSSING_LEFT   7.71666    True    120    2.57222    50    8.0    None    200    3
6712    CROSSING_LEFT   7.71666    True    120    2.57222    50    8.0    None    500    3
6713    CROSSING_LEFT   7.71666    True    120    2.57222    80    8.0    None    200    3
6714    CROSSING_LEFT   7.71666    True    120    2.57222    80    8.0    None    500    3
6715    CROSSING_LEFT   10.28888    True    120    2.57222    -80    8.0    None    200    3
6716    CROSSING_LEFT   10.28888    True    120    2.57222    -80    8.0    None    500    3
6717    CROSSING_LEFT   10.28888    True    120    2.57222    -50    8.0    None    200    3
6718    CROSSING_LEFT   10.28888    True    120    2.57222    -50    8.0    None    500    3
6719    CROSSING_LEFT   10.28888    True    120    2.57222    -20    8.0    None    200    3
6720    CROSSING_LEFT   10.28888    True    120    2.57222    -20    8.0    None    500    3
6721    CROSSING_LEFT   10.28888    True    120    2.57222    -10    8.0    None    200    3
6722    CROSSING_LEFT   10.28888    True    120    2.57222    -10    8.0    None    500    3
6723    CROSSING_LEFT   10.28888    True    120    2.57222    0    8.0    None    200    3
6724    CROSSING_LEFT   10.28888    True    120    2.57222    0    8.0    None    500    3
6725    CROSSING_LEFT   10.28888    True    120    2.57222    10    8.0    None    200    3
6726    CROSSING_LEFT   10.28888    True    120    2.57222    10    8.0    None    500    3
6727    CROSSING_LEFT   10.28888    True    120    2.57222    20    8.0    None    200    3
6728    CROSSING_LEFT   10.28888    True    120    2.57222    20    8.0    None    500    3
6729    CROSSING_LEFT   10.28888    True    120    2.57222    50    8.0    None    200    3
6730    CROSSING_LEFT   10.28888    True    120    2.57222    50    8.0    None    500    3
6731    CROSSING_LEFT   10.28888    True    120    2.57222    80    8.0    None    200    3
6732    CROSSING_LEFT   10.28888    True    120    2.57222    80    8.0    None    500    3
6733    CROSSING_LEFT   12.8611    True    120    2.57222    -80    8.0    None    200    3
6734    CROSSING_LEFT   12.8611    True    120    2.57222    -80    8.0    None    500    3
6735    CROSSING_LEFT   12.8611    True    120    2.57222    -50    8.0    None    200    3
6736    CROSSING_LEFT   12.8611    True    120    2.57222    -50    8.0    None    500    3
6737    CROSSING_LEFT   12.8611    True    120    2.57222    -20    8.0    None    200    3
6738    CROSSING_LEFT   12.8611    True    120    2.57222    -20    8.0    None    500    3
6739    CROSSING_LEFT   12.8611    True    120    2.57222    -10    8.0    None    200    3
6740    CROSSING_LEFT   12.8611    True    120    2.57222    -10    8.0    None    500    3
6741    CROSSING_LEFT   12.8611    True    120    2.57222    0    8.0    None    200    3
6742    CROSSING_LEFT   12.8611    True    120    2.57222    0    8.0    None    500    3
6743    CROSSING_LEFT   12.8611    True    120    2.57222    10    8.0    None    200    3
6744    CROSSING_LEFT   12.8611    True    120    2.57222    10    8.0    None    500    3
6745    CROSSING_LEFT   12.8611    True    120    2.57222    20    8.0    None    200    3
6746    CROSSING_LEFT   12.8611    True    120    2.57222    20    8.0    None    500    3
6747    CROSSING_LEFT   12.8611    True    120    2.57222    50    8.0    None    200    3
6748    CROSSING_LEFT   12.8611    True    120    2.57222    50    8.0    None    500    3
6749    CROSSING_LEFT   12.8611    True    120    2.57222    80    8.0    None    200    3
6750    CROSSING_LEFT   12.8611    True    120    2.57222    80    8.0    None    500    3
6751    CROSSING_LEFT   15.43332    True    120    2.57222    -80    8.0    None    200    3
6752    CROSSING_LEFT   15.43332    True    120    2.57222    -80    8.0    None    500    3
6753    CROSSING_LEFT   15.43332    True    120    2.57222    -50    8.0    None    200    3
6754    CROSSING_LEFT   15.43332    True    120    2.57222    -50    8.0    None    500    3
6755    CROSSING_LEFT   15.43332    True    120    2.57222    -20    8.0    None    200    3
6756    CROSSING_LEFT   15.43332    True    120    2.57222    -20    8.0    None    500    3
6757    CROSSING_LEFT   15.43332    True    120    2.57222    -10    8.0    None    200    3
6758    CROSSING_LEFT   15.43332    True    120    2.57222    -10    8.0    None    500    3
6759    CROSSING_LEFT   15.43332    True    120    2.57222    0    8.0    None    200    3
6760    CROSSING_LEFT   15.43332    True    120    2.57222    0    8.0    None    500    3
6761    CROSSING_LEFT   15.43332    True    120    2.57222    10    8.0    None    200    3
6762    CROSSING_LEFT   15.43332    True    120    2.57222    10    8.0    None    500    3
6763    CROSSING_LEFT   15.43332    True    120    2.57222    20    8.0    None    200    3
