OPUS    ANGLE    U_D    RLNOB    LLNOB    RLW    LLW    LD    LL     RLD    LLD    GP
1    1.5707963267948966    7.71666    1    1    400.0    400.0    200    1000.0    2.5e-06    2.5e-06    0    
2    1.5707963267948966    7.71666    1    1    400.0    400.0    200    1000.0    2.5e-06    2.5e-06    0    
3    1.5707963267948966    7.71666    1    1    400.0    400.0    200    1000.0    2.5e-06    2.5e-06    0    
4    1.5707963267948966    7.71666    1    1    400.0    400.0    200    1000.0    2.5e-06    2.5e-06    0    
5    1.5707963267948966    7.71666    2    2    400.0    400.0    200    1000.0    5e-06    5e-06    0    
6    1.5707963267948966    7.71666    2    2    400.0    400.0    200    1000.0    5e-06    5e-06    0    
7    1.5707963267948966    7.71666    2    2    400.0    400.0    200    1000.0    5e-06    5e-06    0    
8    1.5707963267948966    7.71666    2    2    400.0    400.0    200    1000.0    5e-06    5e-06    0    
9    1.5707963267948966    7.71666    3    3    400.0    400.0    200    1000.0    7.499999999999999e-06    7.499999999999999e-06    0    
10    1.5707963267948966    7.71666    3    3    400.0    400.0    200    1000.0    7.499999999999999e-06    7.499999999999999e-06    0    
11    1.5707963267948966    7.71666    3    3    400.0    400.0    200    1000.0    7.499999999999999e-06    7.499999999999999e-06    0    
12    1.5707963267948966    7.71666    3    3    400.0    400.0    200    1000.0    7.499999999999999e-06    7.499999999999999e-06    0    
13    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
14    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
15    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
16    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
17    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
18    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
19    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
20    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
21    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
22    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
23    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
24    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
25    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
26    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
27    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
