OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
2014    CROSSING_LEFT   15.43332    True    40    1.543332    50    8.0    None    500    3
2015    CROSSING_LEFT   15.43332    True    40    1.543332    80    8.0    None    200    3
2016    CROSSING_LEFT   15.43332    True    40    1.543332    80    8.0    None    500    3
2017    CROSSING_LEFT   1.543332    True    40    2.57222    -80    8.0    None    200    3
2018    CROSSING_LEFT   1.543332    True    40    2.57222    -80    8.0    None    500    3
2019    CROSSING_LEFT   1.543332    True    40    2.57222    -50    8.0    None    200    3
2020    CROSSING_LEFT   1.543332    True    40    2.57222    -50    8.0    None    500    3
2021    CROSSING_LEFT   1.543332    True    40    2.57222    -20    8.0    None    200    3
2022    CROSSING_LEFT   1.543332    True    40    2.57222    -20    8.0    None    500    3
2023    CROSSING_LEFT   1.543332    True    40    2.57222    -10    8.0    None    200    3
2024    CROSSING_LEFT   1.543332    True    40    2.57222    -10    8.0    None    500    3
2025    CROSSING_LEFT   1.543332    True    40    2.57222    0    8.0    None    200    3
2026    CROSSING_LEFT   1.543332    True    40    2.57222    0    8.0    None    500    3
2027    CROSSING_LEFT   1.543332    True    40    2.57222    10    8.0    None    200    3
2028    CROSSING_LEFT   1.543332    True    40    2.57222    10    8.0    None    500    3
2029    CROSSING_LEFT   1.543332    True    40    2.57222    20    8.0    None    200    3
2030    CROSSING_LEFT   1.543332    True    40    2.57222    20    8.0    None    500    3
2031    CROSSING_LEFT   1.543332    True    40    2.57222    50    8.0    None    200    3
2032    CROSSING_LEFT   1.543332    True    40    2.57222    50    8.0    None    500    3
2033    CROSSING_LEFT   1.543332    True    40    2.57222    80    8.0    None    200    3
2034    CROSSING_LEFT   1.543332    True    40    2.57222    80    8.0    None    500    3
2035    CROSSING_LEFT   2.57222    True    40    2.57222    -80    8.0    None    200    3
2036    CROSSING_LEFT   2.57222    True    40    2.57222    -80    8.0    None    500    3
2037    CROSSING_LEFT   2.57222    True    40    2.57222    -50    8.0    None    200    3
2038    CROSSING_LEFT   2.57222    True    40    2.57222    -50    8.0    None    500    3
2039    CROSSING_LEFT   2.57222    True    40    2.57222    -20    8.0    None    200    3
2040    CROSSING_LEFT   2.57222    True    40    2.57222    -20    8.0    None    500    3
2041    CROSSING_LEFT   2.57222    True    40    2.57222    -10    8.0    None    200    3
2042    CROSSING_LEFT   2.57222    True    40    2.57222    -10    8.0    None    500    3
2043    CROSSING_LEFT   2.57222    True    40    2.57222    0    8.0    None    200    3
2044    CROSSING_LEFT   2.57222    True    40    2.57222    0    8.0    None    500    3
2045    CROSSING_LEFT   2.57222    True    40    2.57222    10    8.0    None    200    3
2046    CROSSING_LEFT   2.57222    True    40    2.57222    10    8.0    None    500    3
2047    CROSSING_LEFT   2.57222    True    40    2.57222    20    8.0    None    200    3
2048    CROSSING_LEFT   2.57222    True    40    2.57222    20    8.0    None    500    3
2049    CROSSING_LEFT   2.57222    True    40    2.57222    50    8.0    None    200    3
2050    CROSSING_LEFT   2.57222    True    40    2.57222    50    8.0    None    500    3
2051    CROSSING_LEFT   2.57222    True    40    2.57222    80    8.0    None    200    3
2052    CROSSING_LEFT   2.57222    True    40    2.57222    80    8.0    None    500    3
2053    CROSSING_LEFT   4.115552    True    40    2.57222    -80    8.0    None    200    3
2054    CROSSING_LEFT   4.115552    True    40    2.57222    -80    8.0    None    500    3
2055    CROSSING_LEFT   4.115552    True    40    2.57222    -50    8.0    None    200    3
2056    CROSSING_LEFT   4.115552    True    40    2.57222    -50    8.0    None    500    3
2057    CROSSING_LEFT   4.115552    True    40    2.57222    -20    8.0    None    200    3
2058    CROSSING_LEFT   4.115552    True    40    2.57222    -20    8.0    None    500    3
2059    CROSSING_LEFT   4.115552    True    40    2.57222    -10    8.0    None    200    3
2060    CROSSING_LEFT   4.115552    True    40    2.57222    -10    8.0    None    500    3
2061    CROSSING_LEFT   4.115552    True    40    2.57222    0    8.0    None    200    3
2062    CROSSING_LEFT   4.115552    True    40    2.57222    0    8.0    None    500    3
2063    CROSSING_LEFT   4.115552    True    40    2.57222    10    8.0    None    200    3
2064    CROSSING_LEFT   4.115552    True    40    2.57222    10    8.0    None    500    3
2065    CROSSING_LEFT   4.115552    True    40    2.57222    20    8.0    None    200    3
2066    CROSSING_LEFT   4.115552    True    40    2.57222    20    8.0    None    500    3
2067    CROSSING_LEFT   4.115552    True    40    2.57222    50    8.0    None    200    3
2068    CROSSING_LEFT   4.115552    True    40    2.57222    50    8.0    None    500    3
2069    CROSSING_LEFT   4.115552    True    40    2.57222    80    8.0    None    200    3
2070    CROSSING_LEFT   4.115552    True    40    2.57222    80    8.0    None    500    3
2071    CROSSING_LEFT   5.14444    True    40    2.57222    -80    8.0    None    200    3
2072    CROSSING_LEFT   5.14444    True    40    2.57222    -80    8.0    None    500    3
2073    CROSSING_LEFT   5.14444    True    40    2.57222    -50    8.0    None    200    3
2074    CROSSING_LEFT   5.14444    True    40    2.57222    -50    8.0    None    500    3
2075    CROSSING_LEFT   5.14444    True    40    2.57222    -20    8.0    None    200    3
2076    CROSSING_LEFT   5.14444    True    40    2.57222    -20    8.0    None    500    3
2077    CROSSING_LEFT   5.14444    True    40    2.57222    -10    8.0    None    200    3
2078    CROSSING_LEFT   5.14444    True    40    2.57222    -10    8.0    None    500    3
2079    CROSSING_LEFT   5.14444    True    40    2.57222    0    8.0    None    200    3
2080    CROSSING_LEFT   5.14444    True    40    2.57222    0    8.0    None    500    3
2081    CROSSING_LEFT   5.14444    True    40    2.57222    10    8.0    None    200    3
2082    CROSSING_LEFT   5.14444    True    40    2.57222    10    8.0    None    500    3
2083    CROSSING_LEFT   5.14444    True    40    2.57222    20    8.0    None    200    3
2084    CROSSING_LEFT   5.14444    True    40    2.57222    20    8.0    None    500    3
2085    CROSSING_LEFT   5.14444    True    40    2.57222    50    8.0    None    200    3
2086    CROSSING_LEFT   5.14444    True    40    2.57222    50    8.0    None    500    3
2087    CROSSING_LEFT   5.14444    True    40    2.57222    80    8.0    None    200    3
2088    CROSSING_LEFT   5.14444    True    40    2.57222    80    8.0    None    500    3
2089    CROSSING_LEFT   7.71666    True    40    2.57222    -80    8.0    None    200    3
2090    CROSSING_LEFT   7.71666    True    40    2.57222    -80    8.0    None    500    3
2091    CROSSING_LEFT   7.71666    True    40    2.57222    -50    8.0    None    200    3
2092    CROSSING_LEFT   7.71666    True    40    2.57222    -50    8.0    None    500    3
2093    CROSSING_LEFT   7.71666    True    40    2.57222    -20    8.0    None    200    3
2094    CROSSING_LEFT   7.71666    True    40    2.57222    -20    8.0    None    500    3
2095    CROSSING_LEFT   7.71666    True    40    2.57222    -10    8.0    None    200    3
2096    CROSSING_LEFT   7.71666    True    40    2.57222    -10    8.0    None    500    3
2097    CROSSING_LEFT   7.71666    True    40    2.57222    0    8.0    None    200    3
2098    CROSSING_LEFT   7.71666    True    40    2.57222    0    8.0    None    500    3
2099    CROSSING_LEFT   7.71666    True    40    2.57222    10    8.0    None    200    3
2100    CROSSING_LEFT   7.71666    True    40    2.57222    10    8.0    None    500    3
2101    CROSSING_LEFT   7.71666    True    40    2.57222    20    8.0    None    200    3
2102    CROSSING_LEFT   7.71666    True    40    2.57222    20    8.0    None    500    3
2103    CROSSING_LEFT   7.71666    True    40    2.57222    50    8.0    None    200    3
2104    CROSSING_LEFT   7.71666    True    40    2.57222    50    8.0    None    500    3
2105    CROSSING_LEFT   7.71666    True    40    2.57222    80    8.0    None    200    3
2106    CROSSING_LEFT   7.71666    True    40    2.57222    80    8.0    None    500    3
2107    CROSSING_LEFT   10.28888    True    40    2.57222    -80    8.0    None    200    3
2108    CROSSING_LEFT   10.28888    True    40    2.57222    -80    8.0    None    500    3
2109    CROSSING_LEFT   10.28888    True    40    2.57222    -50    8.0    None    200    3
2110    CROSSING_LEFT   10.28888    True    40    2.57222    -50    8.0    None    500    3
2111    CROSSING_LEFT   10.28888    True    40    2.57222    -20    8.0    None    200    3
2112    CROSSING_LEFT   10.28888    True    40    2.57222    -20    8.0    None    500    3
2113    CROSSING_LEFT   10.28888    True    40    2.57222    -10    8.0    None    200    3
2114    CROSSING_LEFT   10.28888    True    40    2.57222    -10    8.0    None    500    3
2115    CROSSING_LEFT   10.28888    True    40    2.57222    0    8.0    None    200    3
2116    CROSSING_LEFT   10.28888    True    40    2.57222    0    8.0    None    500    3
2117    CROSSING_LEFT   10.28888    True    40    2.57222    10    8.0    None    200    3
2118    CROSSING_LEFT   10.28888    True    40    2.57222    10    8.0    None    500    3
2119    CROSSING_LEFT   10.28888    True    40    2.57222    20    8.0    None    200    3
2120    CROSSING_LEFT   10.28888    True    40    2.57222    20    8.0    None    500    3
2121    CROSSING_LEFT   10.28888    True    40    2.57222    50    8.0    None    200    3
2122    CROSSING_LEFT   10.28888    True    40    2.57222    50    8.0    None    500    3
2123    CROSSING_LEFT   10.28888    True    40    2.57222    80    8.0    None    200    3
2124    CROSSING_LEFT   10.28888    True    40    2.57222    80    8.0    None    500    3
2125    CROSSING_LEFT   12.8611    True    40    2.57222    -80    8.0    None    200    3
2126    CROSSING_LEFT   12.8611    True    40    2.57222    -80    8.0    None    500    3
2127    CROSSING_LEFT   12.8611    True    40    2.57222    -50    8.0    None    200    3
2128    CROSSING_LEFT   12.8611    True    40    2.57222    -50    8.0    None    500    3
2129    CROSSING_LEFT   12.8611    True    40    2.57222    -20    8.0    None    200    3
2130    CROSSING_LEFT   12.8611    True    40    2.57222    -20    8.0    None    500    3
2131    CROSSING_LEFT   12.8611    True    40    2.57222    -10    8.0    None    200    3
2132    CROSSING_LEFT   12.8611    True    40    2.57222    -10    8.0    None    500    3
2133    CROSSING_LEFT   12.8611    True    40    2.57222    0    8.0    None    200    3
2134    CROSSING_LEFT   12.8611    True    40    2.57222    0    8.0    None    500    3
2135    CROSSING_LEFT   12.8611    True    40    2.57222    10    8.0    None    200    3
2136    CROSSING_LEFT   12.8611    True    40    2.57222    10    8.0    None    500    3
2137    CROSSING_LEFT   12.8611    True    40    2.57222    20    8.0    None    200    3
2138    CROSSING_LEFT   12.8611    True    40    2.57222    20    8.0    None    500    3
2139    CROSSING_LEFT   12.8611    True    40    2.57222    50    8.0    None    200    3
2140    CROSSING_LEFT   12.8611    True    40    2.57222    50    8.0    None    500    3
2141    CROSSING_LEFT   12.8611    True    40    2.57222    80    8.0    None    200    3
2142    CROSSING_LEFT   12.8611    True    40    2.57222    80    8.0    None    500    3
2143    CROSSING_LEFT   15.43332    True    40    2.57222    -80    8.0    None    200    3
2144    CROSSING_LEFT   15.43332    True    40    2.57222    -80    8.0    None    500    3
2145    CROSSING_LEFT   15.43332    True    40    2.57222    -50    8.0    None    200    3
2146    CROSSING_LEFT   15.43332    True    40    2.57222    -50    8.0    None    500    3
2147    CROSSING_LEFT   15.43332    True    40    2.57222    -20    8.0    None    200    3
2148    CROSSING_LEFT   15.43332    True    40    2.57222    -20    8.0    None    500    3
2149    CROSSING_LEFT   15.43332    True    40    2.57222    -10    8.0    None    200    3
2150    CROSSING_LEFT   15.43332    True    40    2.57222    -10    8.0    None    500    3
2151    CROSSING_LEFT   15.43332    True    40    2.57222    0    8.0    None    200    3
2152    CROSSING_LEFT   15.43332    True    40    2.57222    0    8.0    None    500    3
2153    CROSSING_LEFT   15.43332    True    40    2.57222    10    8.0    None    200    3
2154    CROSSING_LEFT   15.43332    True    40    2.57222    10    8.0    None    500    3
2155    CROSSING_LEFT   15.43332    True    40    2.57222    20    8.0    None    200    3
2156    CROSSING_LEFT   15.43332    True    40    2.57222    20    8.0    None    500    3
2157    CROSSING_LEFT   15.43332    True    40    2.57222    50    8.0    None    200    3
2158    CROSSING_LEFT   15.43332    True    40    2.57222    50    8.0    None    500    3
2159    CROSSING_LEFT   15.43332    True    40    2.57222    80    8.0    None    200    3
2160    CROSSING_LEFT   15.43332    True    40    2.57222    80    8.0    None    500    3
2161    CROSSING_LEFT   1.543332    True    40    4.115552    -80    8.0    None    200    3
2162    CROSSING_LEFT   1.543332    True    40    4.115552    -80    8.0    None    500    3
2163    CROSSING_LEFT   1.543332    True    40    4.115552    -50    8.0    None    200    3
2164    CROSSING_LEFT   1.543332    True    40    4.115552    -50    8.0    None    500    3
2165    CROSSING_LEFT   1.543332    True    40    4.115552    -20    8.0    None    200    3
2166    CROSSING_LEFT   1.543332    True    40    4.115552    -20    8.0    None    500    3
2167    CROSSING_LEFT   1.543332    True    40    4.115552    -10    8.0    None    200    3
2168    CROSSING_LEFT   1.543332    True    40    4.115552    -10    8.0    None    500    3
2169    CROSSING_LEFT   1.543332    True    40    4.115552    0    8.0    None    200    3
2170    CROSSING_LEFT   1.543332    True    40    4.115552    0    8.0    None    500    3
2171    CROSSING_LEFT   1.543332    True    40    4.115552    10    8.0    None    200    3
2172    CROSSING_LEFT   1.543332    True    40    4.115552    10    8.0    None    500    3
2173    CROSSING_LEFT   1.543332    True    40    4.115552    20    8.0    None    200    3
2174    CROSSING_LEFT   1.543332    True    40    4.115552    20    8.0    None    500    3
2175    CROSSING_LEFT   1.543332    True    40    4.115552    50    8.0    None    200    3
2176    CROSSING_LEFT   1.543332    True    40    4.115552    50    8.0    None    500    3
2177    CROSSING_LEFT   1.543332    True    40    4.115552    80    8.0    None    200    3
2178    CROSSING_LEFT   1.543332    True    40    4.115552    80    8.0    None    500    3
2179    CROSSING_LEFT   2.57222    True    40    4.115552    -80    8.0    None    200    3
2180    CROSSING_LEFT   2.57222    True    40    4.115552    -80    8.0    None    500    3
2181    CROSSING_LEFT   2.57222    True    40    4.115552    -50    8.0    None    200    3
2182    CROSSING_LEFT   2.57222    True    40    4.115552    -50    8.0    None    500    3
2183    CROSSING_LEFT   2.57222    True    40    4.115552    -20    8.0    None    200    3
2184    CROSSING_LEFT   2.57222    True    40    4.115552    -20    8.0    None    500    3
2185    CROSSING_LEFT   2.57222    True    40    4.115552    -10    8.0    None    200    3
2186    CROSSING_LEFT   2.57222    True    40    4.115552    -10    8.0    None    500    3
2187    CROSSING_LEFT   2.57222    True    40    4.115552    0    8.0    None    200    3
2188    CROSSING_LEFT   2.57222    True    40    4.115552    0    8.0    None    500    3
2189    CROSSING_LEFT   2.57222    True    40    4.115552    10    8.0    None    200    3
2190    CROSSING_LEFT   2.57222    True    40    4.115552    10    8.0    None    500    3
2191    CROSSING_LEFT   2.57222    True    40    4.115552    20    8.0    None    200    3
2192    CROSSING_LEFT   2.57222    True    40    4.115552    20    8.0    None    500    3
2193    CROSSING_LEFT   2.57222    True    40    4.115552    50    8.0    None    200    3
2194    CROSSING_LEFT   2.57222    True    40    4.115552    50    8.0    None    500    3
2195    CROSSING_LEFT   2.57222    True    40    4.115552    80    8.0    None    200    3
2196    CROSSING_LEFT   2.57222    True    40    4.115552    80    8.0    None    500    3
2197    CROSSING_LEFT   4.115552    True    40    4.115552    -80    8.0    None    200    3
2198    CROSSING_LEFT   4.115552    True    40    4.115552    -80    8.0    None    500    3
2199    CROSSING_LEFT   4.115552    True    40    4.115552    -50    8.0    None    200    3
2200    CROSSING_LEFT   4.115552    True    40    4.115552    -50    8.0    None    500    3
2201    CROSSING_LEFT   4.115552    True    40    4.115552    -20    8.0    None    200    3
2202    CROSSING_LEFT   4.115552    True    40    4.115552    -20    8.0    None    500    3
2203    CROSSING_LEFT   4.115552    True    40    4.115552    -10    8.0    None    200    3
2204    CROSSING_LEFT   4.115552    True    40    4.115552    -10    8.0    None    500    3
2205    CROSSING_LEFT   4.115552    True    40    4.115552    0    8.0    None    200    3
2206    CROSSING_LEFT   4.115552    True    40    4.115552    0    8.0    None    500    3
2207    CROSSING_LEFT   4.115552    True    40    4.115552    10    8.0    None    200    3
2208    CROSSING_LEFT   4.115552    True    40    4.115552    10    8.0    None    500    3
2209    CROSSING_LEFT   4.115552    True    40    4.115552    20    8.0    None    200    3
2210    CROSSING_LEFT   4.115552    True    40    4.115552    20    8.0    None    500    3
2211    CROSSING_LEFT   4.115552    True    40    4.115552    50    8.0    None    200    3
2212    CROSSING_LEFT   4.115552    True    40    4.115552    50    8.0    None    500    3
