OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
9178    HEAD_ON   10.28888    True    160    4.115552    50    8.0    None    500    3
9179    HEAD_ON   10.28888    True    160    4.115552    80    8.0    None    200    3
9180    HEAD_ON   10.28888    True    160    4.115552    80    8.0    None    500    3
9181    HEAD_ON   12.8611    True    160    4.115552    -80    8.0    None    200    3
9182    HEAD_ON   12.8611    True    160    4.115552    -80    8.0    None    500    3
9183    HEAD_ON   12.8611    True    160    4.115552    -50    8.0    None    200    3
9184    HEAD_ON   12.8611    True    160    4.115552    -50    8.0    None    500    3
9185    HEAD_ON   12.8611    True    160    4.115552    -20    8.0    None    200    3
9186    HEAD_ON   12.8611    True    160    4.115552    -20    8.0    None    500    3
9187    HEAD_ON   12.8611    True    160    4.115552    -10    8.0    None    200    3
9188    HEAD_ON   12.8611    True    160    4.115552    -10    8.0    None    500    3
9189    HEAD_ON   12.8611    True    160    4.115552    0    8.0    None    200    3
9190    HEAD_ON   12.8611    True    160    4.115552    0    8.0    None    500    3
9191    HEAD_ON   12.8611    True    160    4.115552    10    8.0    None    200    3
9192    HEAD_ON   12.8611    True    160    4.115552    10    8.0    None    500    3
9193    HEAD_ON   12.8611    True    160    4.115552    20    8.0    None    200    3
9194    HEAD_ON   12.8611    True    160    4.115552    20    8.0    None    500    3
9195    HEAD_ON   12.8611    True    160    4.115552    50    8.0    None    200    3
9196    HEAD_ON   12.8611    True    160    4.115552    50    8.0    None    500    3
9197    HEAD_ON   12.8611    True    160    4.115552    80    8.0    None    200    3
9198    HEAD_ON   12.8611    True    160    4.115552    80    8.0    None    500    3
9199    HEAD_ON   15.43332    True    160    4.115552    -80    8.0    None    200    3
9200    HEAD_ON   15.43332    True    160    4.115552    -80    8.0    None    500    3
9201    HEAD_ON   15.43332    True    160    4.115552    -50    8.0    None    200    3
9202    HEAD_ON   15.43332    True    160    4.115552    -50    8.0    None    500    3
9203    HEAD_ON   15.43332    True    160    4.115552    -20    8.0    None    200    3
9204    HEAD_ON   15.43332    True    160    4.115552    -20    8.0    None    500    3
9205    HEAD_ON   15.43332    True    160    4.115552    -10    8.0    None    200    3
9206    HEAD_ON   15.43332    True    160    4.115552    -10    8.0    None    500    3
9207    HEAD_ON   15.43332    True    160    4.115552    0    8.0    None    200    3
9208    HEAD_ON   15.43332    True    160    4.115552    0    8.0    None    500    3
9209    HEAD_ON   15.43332    True    160    4.115552    10    8.0    None    200    3
9210    HEAD_ON   15.43332    True    160    4.115552    10    8.0    None    500    3
9211    HEAD_ON   15.43332    True    160    4.115552    20    8.0    None    200    3
9212    HEAD_ON   15.43332    True    160    4.115552    20    8.0    None    500    3
9213    HEAD_ON   15.43332    True    160    4.115552    50    8.0    None    200    3
9214    HEAD_ON   15.43332    True    160    4.115552    50    8.0    None    500    1
9215    HEAD_ON   15.43332    True    160    4.115552    80    8.0    None    200    3
9216    HEAD_ON   15.43332    True    160    4.115552    80    8.0    None    500    3
9217    HEAD_ON   1.543332    True    160    5.14444    -80    8.0    None    200    3
9218    HEAD_ON   1.543332    True    160    5.14444    -80    8.0    None    500    1
9219    HEAD_ON   1.543332    True    160    5.14444    -50    8.0    None    200    1
9220    HEAD_ON   1.543332    True    160    5.14444    -50    8.0    None    500    1
9221    HEAD_ON   1.543332    True    160    5.14444    -20    8.0    None    200    1
9222    HEAD_ON   1.543332    True    160    5.14444    -20    8.0    None    500    2
9223    HEAD_ON   1.543332    True    160    5.14444    -10    8.0    None    200    1
9224    HEAD_ON   1.543332    True    160    5.14444    -10    8.0    None    500    1
9225    HEAD_ON   1.543332    True    160    5.14444    0    8.0    None    200    1
9226    HEAD_ON   1.543332    True    160    5.14444    0    8.0    None    500    1
9227    HEAD_ON   1.543332    True    160    5.14444    10    8.0    None    200    1
