OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
1    OVERTAKING   8    True    0    3    -80    8.0    None    200    1
2    OVERTAKING   8    True    0    3    -80    8.0    None    500    1
3    OVERTAKING   8    True    0    3    -50    8.0    None    200    1
4    OVERTAKING   8    True    0    3    -50    8.0    None    500    1
5    OVERTAKING   8    True    0    3    -20    8.0    None    200    1
6    OVERTAKING   8    True    0    3    -20    8.0    None    500    1
7    OVERTAKING   8    True    0    3    -10    8.0    None    200    1
8    OVERTAKING   8    True    0    3    -10    8.0    None    500    1
9    OVERTAKING   8    True    0    3    0    8.0    None    200    1
10    OVERTAKING   8    True    0    3    0    8.0    None    500    1
11    OVERTAKING   8    True    0    3    10    8.0    None    200    1
12    OVERTAKING   8    True    0    3    10    8.0    None    500    1
13    OVERTAKING   8    True    0    3    20    8.0    None    200    1
14    OVERTAKING   8    True    0    3    20    8.0    None    500    1
15    OVERTAKING   8    True    0    3    50    8.0    None    200    1
16    OVERTAKING   8    True    0    3    50    8.0    None    500    1
17    OVERTAKING   8    True    0    3    80    8.0    None    200    1
18    OVERTAKING   8    True    0    3    80    8.0    None    500    1
19    OVERTAKING   10    True    0    3    -80    8.0    None    200    1
20    OVERTAKING   10    True    0    3    -80    8.0    None    500    1
21    OVERTAKING   10    True    0    3    -50    8.0    None    200    1
22    OVERTAKING   10    True    0    3    -50    8.0    None    500    1
23    OVERTAKING   10    True    0    3    -20    8.0    None    200    1
24    OVERTAKING   10    True    0    3    -20    8.0    None    500    1
25    OVERTAKING   10    True    0    3    -10    8.0    None    200    1
26    OVERTAKING   10    True    0    3    -10    8.0    None    500    1
27    OVERTAKING   10    True    0    3    0    8.0    None    200    1
28    OVERTAKING   10    True    0    3    0    8.0    None    500    1
29    OVERTAKING   10    True    0    3    10    8.0    None    200    1
30    OVERTAKING   10    True    0    3    10    8.0    None    500    1
31    OVERTAKING   10    True    0    3    20    8.0    None    200    1
32    OVERTAKING   10    True    0    3    20    8.0    None    500    1
33    OVERTAKING   10    True    0    3    50    8.0    None    200    1
34    OVERTAKING   10    True    0    3    50    8.0    None    500    1
35    OVERTAKING   10    True    0    3    80    8.0    None    200    1
36    OVERTAKING   10    True    0    3    80    8.0    None    500    1
37    OVERTAKING   15    True    0    3    -80    8.0    None    200    1
38    OVERTAKING   15    True    0    3    -80    8.0    None    500    1
39    OVERTAKING   15    True    0    3    -50    8.0    None    200    1
40    OVERTAKING   15    True    0    3    -50    8.0    None    500    1
41    OVERTAKING   15    True    0    3    -20    8.0    None    200    1
42    OVERTAKING   15    True    0    3    -20    8.0    None    500    1
43    OVERTAKING   15    True    0    3    -10    8.0    None    200    1
44    OVERTAKING   15    True    0    3    -10    8.0    None    500    1
45    OVERTAKING   15    True    0    3    0    8.0    None    200    1
46    OVERTAKING   15    True    0    3    0    8.0    None    500    1
47    OVERTAKING   15    True    0    3    10    8.0    None    200    1
48    OVERTAKING   15    True    0    3    10    8.0    None    500    1
49    OVERTAKING   15    True    0    3    20    8.0    None    200    1
50    OVERTAKING   15    True    0    3    20    8.0    None    500    1
51    OVERTAKING   15    True    0    3    50    8.0    None    200    1
52    OVERTAKING   15    True    0    3    50    8.0    None    500    1
53    OVERTAKING   15    True    0    3    80    8.0    None    200    1
54    OVERTAKING   15    True    0    3    80    8.0    None    500    1
55    OVERTAKING   20    True    0    3    -80    8.0    None    200    1
56    OVERTAKING   20    True    0    3    -80    8.0    None    500    1
57    OVERTAKING   20    True    0    3    -50    8.0    None    200    1
