OPUS    CLASS    U_D_ASV    LOC_PLAN    HEADING    U_D    DCPA    SIZE    PRIOR    D_DETEC    GROUP
1    OVERTAKING   4.115552    True    0    1.543332    -80    8.0    None    100    1
2    OVERTAKING   4.115552    True    0    1.543332    -50    8.0    None    100    1
3    OVERTAKING   4.115552    True    0    1.543332    -20    8.0    None    50    1
4    OVERTAKING   4.115552    True    0    1.543332    -20    8.0    None    100    1
5    OVERTAKING   4.115552    True    0    1.543332    -10    8.0    None    50    1
6    OVERTAKING   4.115552    True    0    1.543332    -10    8.0    None    100    1
7    OVERTAKING   4.115552    True    0    1.543332    0    8.0    None    50    1
8    OVERTAKING   4.115552    True    0    1.543332    0    8.0    None    100    1
9    OVERTAKING   4.115552    True    0    1.543332    10    8.0    None    50    1
10    OVERTAKING   4.115552    True    0    1.543332    10    8.0    None    100    1
11    OVERTAKING   4.115552    True    0    1.543332    20    8.0    None    50    1
12    OVERTAKING   4.115552    True    0    1.543332    20    8.0    None    100    1
13    OVERTAKING   4.115552    True    0    1.543332    50    8.0    None    100    1
14    OVERTAKING   4.115552    True    0    1.543332    80    8.0    None    100    1
15    OVERTAKING   5.14444    True    0    1.543332    -80    8.0    None    100    1
16    OVERTAKING   5.14444    True    0    1.543332    -50    8.0    None    100    1
17    OVERTAKING   5.14444    True    0    1.543332    -20    8.0    None    50    1
18    OVERTAKING   5.14444    True    0    1.543332    -20    8.0    None    100    1
19    OVERTAKING   5.14444    True    0    1.543332    -10    8.0    None    50    1
20    OVERTAKING   5.14444    True    0    1.543332    -10    8.0    None    100    1
21    OVERTAKING   5.14444    True    0    1.543332    0    8.0    None    50    1
22    OVERTAKING   5.14444    True    0    1.543332    0    8.0    None    100    1
23    OVERTAKING   5.14444    True    0    1.543332    10    8.0    None    50    1
24    OVERTAKING   5.14444    True    0    1.543332    10    8.0    None    100    1
25    OVERTAKING   5.14444    True    0    1.543332    20    8.0    None    50    1
26    OVERTAKING   5.14444    True    0    1.543332    20    8.0    None    100    1
27    OVERTAKING   5.14444    True    0    1.543332    50    8.0    None    100    1
28    OVERTAKING   5.14444    True    0    1.543332    80    8.0    None    100    1
29    OVERTAKING   7.71666    True    0    1.543332    -80    8.0    None    100    1
30    OVERTAKING   7.71666    True    0    1.543332    -50    8.0    None    100    1
31    OVERTAKING   7.71666    True    0    1.543332    -20    8.0    None    50    1
32    OVERTAKING   7.71666    True    0    1.543332    -20    8.0    None    100    1
33    OVERTAKING   7.71666    True    0    1.543332    -10    8.0    None    50    1
34    OVERTAKING   7.71666    True    0    1.543332    -10    8.0    None    100    1
35    OVERTAKING   7.71666    True    0    1.543332    0    8.0    None    50    1
36    OVERTAKING   7.71666    True    0    1.543332    0    8.0    None    100    1
37    OVERTAKING   7.71666    True    0    1.543332    10    8.0    None    50    1
38    OVERTAKING   7.71666    True    0    1.543332    10    8.0    None    100    1
39    OVERTAKING   7.71666    True    0    1.543332    20    8.0    None    50    1
40    OVERTAKING   7.71666    True    0    1.543332    20    8.0    None    100    1
41    OVERTAKING   7.71666    True    0    1.543332    50    8.0    None    100    1
42    OVERTAKING   7.71666    True    0    1.543332    80    8.0    None    100    1
43    OVERTAKING   10.28888    True    0    1.543332    -80    8.0    None    100    1
44    OVERTAKING   10.28888    True    0    1.543332    -50    8.0    None    100    1
45    OVERTAKING   10.28888    True    0    1.543332    -20    8.0    None    50    1
46    OVERTAKING   10.28888    True    0    1.543332    -20    8.0    None    100    1
47    OVERTAKING   10.28888    True    0    1.543332    -10    8.0    None    50    1
48    OVERTAKING   10.28888    True    0    1.543332    -10    8.0    None    100    1
49    OVERTAKING   10.28888    True    0    1.543332    0    8.0    None    50    1
50    OVERTAKING   10.28888    True    0    1.543332    0    8.0    None    100    1
51    OVERTAKING   10.28888    True    0    1.543332    10    8.0    None    50    1
52    OVERTAKING   10.28888    True    0    1.543332    10    8.0    None    100    1
53    OVERTAKING   10.28888    True    0    1.543332    20    8.0    None    50    1
54    OVERTAKING   10.28888    True    0    1.543332    20    8.0    None    100    1
55    OVERTAKING   10.28888    True    0    1.543332    50    8.0    None    100    1
56    OVERTAKING   10.28888    True    0    1.543332    80    8.0    None    100    1
57    OVERTAKING   12.8611    True    0    1.543332    -80    8.0    None    100    1
58    OVERTAKING   12.8611    True    0    1.543332    -50    8.0    None    100    1
59    OVERTAKING   12.8611    True    0    1.543332    -20    8.0    None    50    1
60    OVERTAKING   12.8611    True    0    1.543332    -20    8.0    None    100    1
61    OVERTAKING   12.8611    True    0    1.543332    -10    8.0    None    50    1
62    OVERTAKING   12.8611    True    0    1.543332    -10    8.0    None    100    1
63    OVERTAKING   12.8611    True    0    1.543332    0    8.0    None    50    1
64    OVERTAKING   12.8611    True    0    1.543332    0    8.0    None    100    1
65    OVERTAKING   12.8611    True    0    1.543332    10    8.0    None    50    1
66    OVERTAKING   12.8611    True    0    1.543332    10    8.0    None    100    1
67    OVERTAKING   12.8611    True    0    1.543332    20    8.0    None    50    1
68    OVERTAKING   12.8611    True    0    1.543332    20    8.0    None    100    1
69    OVERTAKING   12.8611    True    0    1.543332    50    8.0    None    100    1
70    OVERTAKING   12.8611    True    0    1.543332    80    8.0    None    100    1
71    OVERTAKING   15.43332    True    0    1.543332    -80    8.0    None    100    1
72    OVERTAKING   15.43332    True    0    1.543332    -50    8.0    None    100    1
73    OVERTAKING   15.43332    True    0    1.543332    -20    8.0    None    50    1
74    OVERTAKING   15.43332    True    0    1.543332    -20    8.0    None    100    1
75    OVERTAKING   15.43332    True    0    1.543332    -10    8.0    None    50    1
76    OVERTAKING   15.43332    True    0    1.543332    -10    8.0    None    100    1
77    OVERTAKING   15.43332    True    0    1.543332    0    8.0    None    50    1
78    OVERTAKING   15.43332    True    0    1.543332    0    8.0    None    100    1
79    OVERTAKING   15.43332    True    0    1.543332    10    8.0    None    50    1
80    OVERTAKING   15.43332    True    0    1.543332    10    8.0    None    100    1
81    OVERTAKING   15.43332    True    0    1.543332    20    8.0    None    50    1
82    OVERTAKING   15.43332    True    0    1.543332    20    8.0    None    100    1
83    OVERTAKING   15.43332    True    0    1.543332    50    8.0    None    100    1
84    OVERTAKING   15.43332    True    0    1.543332    80    8.0    None    100    1
85    OVERTAKING   4.115552    True    0    2.57222    -80    8.0    None    100    1
86    OVERTAKING   4.115552    True    0    2.57222    -50    8.0    None    100    1
87    OVERTAKING   4.115552    True    0    2.57222    -20    8.0    None    50    1
88    OVERTAKING   4.115552    True    0    2.57222    -20    8.0    None    100    1
89    OVERTAKING   4.115552    True    0    2.57222    -10    8.0    None    50    1
90    OVERTAKING   4.115552    True    0    2.57222    -10    8.0    None    100    1
91    OVERTAKING   4.115552    True    0    2.57222    0    8.0    None    50    1
92    OVERTAKING   4.115552    True    0    2.57222    0    8.0    None    100    1
93    OVERTAKING   4.115552    True    0    2.57222    10    8.0    None    50    1
94    OVERTAKING   4.115552    True    0    2.57222    10    8.0    None    100    1
95    OVERTAKING   4.115552    True    0    2.57222    20    8.0    None    50    1
96    OVERTAKING   4.115552    True    0    2.57222    20    8.0    None    100    1
97    OVERTAKING   4.115552    True    0    2.57222    50    8.0    None    100    1
98    OVERTAKING   4.115552    True    0    2.57222    80    8.0    None    100    1
99    OVERTAKING   5.14444    True    0    2.57222    -80    8.0    None    100    1
100    OVERTAKING   5.14444    True    0    2.57222    -50    8.0    None    100    1
101    OVERTAKING   5.14444    True    0    2.57222    -20    8.0    None    50    1
102    OVERTAKING   5.14444    True    0    2.57222    -20    8.0    None    100    1
103    OVERTAKING   5.14444    True    0    2.57222    -10    8.0    None    50    1
104    OVERTAKING   5.14444    True    0    2.57222    -10    8.0    None    100    1
105    OVERTAKING   5.14444    True    0    2.57222    0    8.0    None    50    1
106    OVERTAKING   5.14444    True    0    2.57222    0    8.0    None    100    1
107    OVERTAKING   5.14444    True    0    2.57222    10    8.0    None    50    1
108    OVERTAKING   5.14444    True    0    2.57222    10    8.0    None    100    1
109    OVERTAKING   5.14444    True    0    2.57222    20    8.0    None    50    1
110    OVERTAKING   5.14444    True    0    2.57222    20    8.0    None    100    1
111    OVERTAKING   5.14444    True    0    2.57222    50    8.0    None    100    1
112    OVERTAKING   5.14444    True    0    2.57222    80    8.0    None    100    1
113    OVERTAKING   7.71666    True    0    2.57222    -80    8.0    None    100    1
114    OVERTAKING   7.71666    True    0    2.57222    -50    8.0    None    100    1
115    OVERTAKING   7.71666    True    0    2.57222    -20    8.0    None    50    1
116    OVERTAKING   7.71666    True    0    2.57222    -20    8.0    None    100    1
117    OVERTAKING   7.71666    True    0    2.57222    -10    8.0    None    50    1
118    OVERTAKING   7.71666    True    0    2.57222    -10    8.0    None    100    1
119    OVERTAKING   7.71666    True    0    2.57222    0    8.0    None    50    1
120    OVERTAKING   7.71666    True    0    2.57222    0    8.0    None    100    1
121    OVERTAKING   7.71666    True    0    2.57222    10    8.0    None    50    1
122    OVERTAKING   7.71666    True    0    2.57222    10    8.0    None    100    1
123    OVERTAKING   7.71666    True    0    2.57222    20    8.0    None    50    1
124    OVERTAKING   7.71666    True    0    2.57222    20    8.0    None    100    1
125    OVERTAKING   7.71666    True    0    2.57222    50    8.0    None    100    1
126    OVERTAKING   7.71666    True    0    2.57222    80    8.0    None    100    1
127    OVERTAKING   10.28888    True    0    2.57222    -80    8.0    None    100    1
128    OVERTAKING   10.28888    True    0    2.57222    -50    8.0    None    100    1
129    OVERTAKING   10.28888    True    0    2.57222    -20    8.0    None    50    1
130    OVERTAKING   10.28888    True    0    2.57222    -20    8.0    None    100    1
131    OVERTAKING   10.28888    True    0    2.57222    -10    8.0    None    50    1
132    OVERTAKING   10.28888    True    0    2.57222    -10    8.0    None    100    1
133    OVERTAKING   10.28888    True    0    2.57222    0    8.0    None    50    1
134    OVERTAKING   10.28888    True    0    2.57222    0    8.0    None    100    1
135    OVERTAKING   10.28888    True    0    2.57222    10    8.0    None    50    1
136    OVERTAKING   10.28888    True    0    2.57222    10    8.0    None    100    1
137    OVERTAKING   10.28888    True    0    2.57222    20    8.0    None    50    1
138    OVERTAKING   10.28888    True    0    2.57222    20    8.0    None    100    1
139    OVERTAKING   10.28888    True    0    2.57222    50    8.0    None    100    1
140    OVERTAKING   10.28888    True    0    2.57222    80    8.0    None    100    1
141    OVERTAKING   12.8611    True    0    2.57222    -80    8.0    None    100    1
142    OVERTAKING   12.8611    True    0    2.57222    -50    8.0    None    100    1
143    OVERTAKING   12.8611    True    0    2.57222    -20    8.0    None    50    1
144    OVERTAKING   12.8611    True    0    2.57222    -20    8.0    None    100    1
145    OVERTAKING   12.8611    True    0    2.57222    -10    8.0    None    50    1
146    OVERTAKING   12.8611    True    0    2.57222    -10    8.0    None    100    1
147    OVERTAKING   12.8611    True    0    2.57222    0    8.0    None    50    1
148    OVERTAKING   12.8611    True    0    2.57222    0    8.0    None    100    1
149    OVERTAKING   12.8611    True    0    2.57222    10    8.0    None    50    1
150    OVERTAKING   12.8611    True    0    2.57222    10    8.0    None    100    1
151    OVERTAKING   12.8611    True    0    2.57222    20    8.0    None    50    1
152    OVERTAKING   12.8611    True    0    2.57222    20    8.0    None    100    1
153    OVERTAKING   12.8611    True    0    2.57222    50    8.0    None    100    1
154    OVERTAKING   12.8611    True    0    2.57222    80    8.0    None    100    1
155    OVERTAKING   15.43332    True    0    2.57222    -80    8.0    None    100    1
156    OVERTAKING   15.43332    True    0    2.57222    -50    8.0    None    100    1
157    OVERTAKING   15.43332    True    0    2.57222    -20    8.0    None    50    1
158    OVERTAKING   15.43332    True    0    2.57222    -20    8.0    None    100    1
159    OVERTAKING   15.43332    True    0    2.57222    -10    8.0    None    50    1
160    OVERTAKING   15.43332    True    0    2.57222    -10    8.0    None    100    1
161    OVERTAKING   15.43332    True    0    2.57222    0    8.0    None    50    1
162    OVERTAKING   15.43332    True    0    2.57222    0    8.0    None    100    1
163    OVERTAKING   15.43332    True    0    2.57222    10    8.0    None    50    1
164    OVERTAKING   15.43332    True    0    2.57222    10    8.0    None    100    1
165    OVERTAKING   15.43332    True    0    2.57222    20    8.0    None    50    1
166    OVERTAKING   15.43332    True    0    2.57222    20    8.0    None    100    1
167    OVERTAKING   15.43332    True    0    2.57222    50    8.0    None    100    1
168    OVERTAKING   15.43332    True    0    2.57222    80    8.0    None    100    1
169    OVERTAKEN   1.543332    True    0    4.115552    -80    8.0    None    100    2
170    OVERTAKEN   1.543332    True    0    4.115552    -50    8.0    None    100    2
171    OVERTAKEN   1.543332    True    0    4.115552    -20    8.0    None    50    2
172    OVERTAKEN   1.543332    True    0    4.115552    -20    8.0    None    100    2
173    OVERTAKEN   1.543332    True    0    4.115552    -10    8.0    None    50    2
174    OVERTAKEN   1.543332    True    0    4.115552    -10    8.0    None    100    2
175    OVERTAKEN   1.543332    True    0    4.115552    0    8.0    None    50    2
176    OVERTAKEN   1.543332    True    0    4.115552    0    8.0    None    100    2
177    OVERTAKEN   1.543332    True    0    4.115552    10    8.0    None    50    2
178    OVERTAKEN   1.543332    True    0    4.115552    10    8.0    None    100    2
179    OVERTAKEN   1.543332    True    0    4.115552    20    8.0    None    50    2
180    OVERTAKEN   1.543332    True    0    4.115552    20    8.0    None    100    2
181    OVERTAKEN   1.543332    True    0    4.115552    50    8.0    None    100    2
182    OVERTAKEN   1.543332    True    0    4.115552    80    8.0    None    100    2
183    OVERTAKEN   2.57222    True    0    4.115552    -80    8.0    None    100    2
184    OVERTAKEN   2.57222    True    0    4.115552    -50    8.0    None    100    2
185    OVERTAKEN   2.57222    True    0    4.115552    -20    8.0    None    50    2
186    OVERTAKEN   2.57222    True    0    4.115552    -20    8.0    None    100    2
187    OVERTAKEN   2.57222    True    0    4.115552    -10    8.0    None    50    2
188    OVERTAKEN   2.57222    True    0    4.115552    -10    8.0    None    100    2
189    OVERTAKEN   2.57222    True    0    4.115552    0    8.0    None    50    2
190    OVERTAKEN   2.57222    True    0    4.115552    0    8.0    None    100    2
191    OVERTAKEN   2.57222    True    0    4.115552    10    8.0    None    50    2
192    OVERTAKEN   2.57222    True    0    4.115552    10    8.0    None    100    2
193    OVERTAKEN   2.57222    True    0    4.115552    20    8.0    None    50    2
194    OVERTAKEN   2.57222    True    0    4.115552    20    8.0    None    100    2
195    OVERTAKEN   2.57222    True    0    4.115552    50    8.0    None    100    2
196    OVERTAKEN   2.57222    True    0    4.115552    80    8.0    None    100    2
197    OVERTAKING   7.71666    True    0    4.115552    -80    8.0    None    100    1
198    OVERTAKING   7.71666    True    0    4.115552    -50    8.0    None    100    1
199    OVERTAKING   7.71666    True    0    4.115552    -20    8.0    None    50    1
200    OVERTAKING   7.71666    True    0    4.115552    -20    8.0    None    100    1
201    OVERTAKING   7.71666    True    0    4.115552    -10    8.0    None    50    1
202    OVERTAKING   7.71666    True    0    4.115552    -10    8.0    None    100    1
203    OVERTAKING   7.71666    True    0    4.115552    0    8.0    None    50    1
