OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME
1    58.96376919746399    -0.16685490878261938    0.8463223963762442    -0.16685490878261938    0.779838533406659    0.039371111592758724    0.006394363506029722    -0.16685490878261938    -0.16685490878261938    -0.16685490878261938    34.23652290355916    52.0    3.155516528166211    1.7545703913802495
2    60.13257122039795    0.1444191417494062    1.155368270129605    0.1444191417494062    0.7534452735683398    0.03918835256232686    0.0060524816322192546    0.2532310615132924    0.1500786899930306    0.14529323595218535    34.36297280463699    61.0    3.2538915840557885    0.8655248944025644
3    61.558987617492676    0.43310191142129045    1.5420333635049253    0.43310191142129045    0.9141276519164013    0.10055351378714815    0.015796832423870463    0.8290123447493399    0.4766518304426314    0.43994354973847055    31.653496650145776    87.0    2.1593460990192592    0.6484943994513035
4    73.60283017158508    0.07932771772368391    1.0825590377274337    0.07932771772368391    1.609387597252337    0.19146471103155174    0.02571249239449337    0.20699676274651518    0.09451617627444156    0.08136743106232665    44.66209236418252    152.0    1.4006942436657526    0.9237371497994732
5    55.978309631347656    0.69531271628898    2.004335764390022    0.69531271628898    1.4596548368599103    0.13992330367850517    0.01869507011331186    1.7102292857503922    0.7926031686418092    0.7083116362706797    28.668676568107152    449.0    1.490465697689601    0.4989184036759077
6    56.27743983268738    0.38510028807606655    1.4697617136247172    1.0774931827567296    1.15681564876067    0.12063062414339976    0.016522793381512732    0.8305903276647024    0.4315551761844855    0.3914632205671084    39.41412326831488    169.0    1.7957578446839129    0.6803823985411936
7    203.48128962516785    -1.8568191245701915    0.1561685939941061    -1.8568191245701915    0.8139334316676163    0.005742275082953359    0.001200680303466534    -1.8568191245701915    -1.8568191245701915    -1.8568191245701915    289.5132336055029    -1.0    4.483398052716812    30.628642803101858
8    152.97590517997742    -1.7520605691756854    0.17341623888310273    -1.7520605691756854    0.6793861712053008    0.044469009395259655    0.008459526675708992    -1.7520605691756854    -1.7520605691756854    -1.7520605691756854    278.26675351887053    -1.0    2.4764180258472814    17.570251468528518
9    133.33199763298035    -1.561259887871021    0.2098714900197032    -1.561259887871021    0.5751598502795298    0.047979013554571334    0.011232297426008545    -1.561259887871021    -1.561259887871021    -1.561259887871021    206.23242973400892    -1.0    2.3571092009138774    13.638913892068903
10    121.06545972824097    -1.4148602151389509    0.24295957314533412    -1.4148602151389509    0.5989392237416433    0.016356103121174897    0.003307717286330331    -1.4148602151389509    -1.4148602151389509    -1.4148602151389509    136.5597243377168    -1.0    1.6680566643724979    9.313427332459
11    60.70522165298462    -1.3101763118250496    0.26977248811165844    -1.3101763118250496    0.7273951038521757    0.005211033748973031    0.0008621666582045616    -1.3101763118250496    -1.3101763118250496    -1.3101763118250496    45.70579518147276    115.0    2.4993585858035288    10.472159044842149
12    58.18345642089844    -0.7580120004858953    0.4685970723943505    -0.7580120004858953    0.7405305338549956    0.003677704174930996    0.0006052716906708189    -0.7580120004858953    -0.7580120004858953    -0.7580120004858953    35.12965999545498    51.0    2.4463063665132    4.908213261413415
