OPUS    TIME   LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV   ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP    DCPA    CROSSING_DIST
1    45.21939778327942    3.356108117436839    28.67736447801326    3.356108117436839    2.847606162871753    0.17468632301764403    0.16580689513311578    0.17090853825048327    1.9871591541290279    61.16388254911992
2    53.99963355064392    4.057057453859438    57.80396973518351    4.057057453859438    2.6015223048881486    0.10725372121864454    0.0932314553066038    0.10190273274117735    1.9574126070186395    137.64819156672638
3    56.00872826576233    4.508030671093672    90.74293973850061    4.508030671093672    5.601416816037597    0.2370237856422995    0.19890017152795955    0.22187180409732554    1.895414557726287    214.0563772608767
4    59.15415072441101    4.802720498216018    121.84143645687851    4.802720498216018    4.34869003071701    0.24892930822583345    0.20639701409230948    0.22936581956862753    1.8682097602604522    289.504276463102
5    70.33872818946838    4.934599114749944    139.01740133421694    4.934599114749944    4.335942575458047    0.3177176018830007    0.2239092517008877    0.2740677682740517    1.923324128331462    362.19725640178626
6    82.8614993095398    5.046391702918424    155.46050355384332    5.046391702918424    3.918028233953256    0.26338933487131233    0.17632212016616527    0.21464339569751895    1.907670687732903    441.5692573195349
7    108.25672459602356    5.233611357749826    187.46859869336922    5.233611357749826    3.5702640480258268    0.28001825207582187    0.19353472362006738    0.23618385829087815    1.901716499225433    448.05417006983214
8    133.90893983840942    5.390702440336836    219.35741694653677    5.390702440336836    4.859334741057349    0.27085565457371397    0.20593695068081305    0.2356961339433866    1.9013797126403205    463.2122453609075
9    195.3339011669159    5.530532709880423    250.0    5.530532709880423    4.514857583726619    0.2859650044583839    0.19760663322162006    0.2385409420633345    2.2477652712743    543.5887326116216
10    256.34739565849304    5.896911449996668    250.0    5.896911449996668    5.928023504698114    0.28095143588154514    0.23705424571894154    0.2602936414165945    1.970329635772309    656.3034991260452
11    318.94816970825195    6.049352366844723    250.0    6.049352366844723    4.121466624536021    0.17034674413153125    0.12791167447542878    0.14886779212940965    2.044661411704375    766.3018010698244
12    382.4125738143921    6.2884942831577995    250.0    6.2884942831577995    3.637890980174247    0.21054668588180542    0.13794375637376757    0.17168942006524598    1.8880167523057203    892.805297717129
